[2025-04-14T05:50:42.599+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-15 (offset=0)
[2025-04-14T05:50:43.111+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-16 (offset=0)
[2025-04-14T05:50:43.615+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-17 (offset=0)
[2025-04-14T05:50:44.099+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-18 (offset=0)
[2025-04-14T05:50:44.727+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-19 (offset=0)
[2025-04-14T05:50:45.087+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-20 (offset=0)
[2025-04-14T05:50:45.401+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-21 (offset=0)
[2025-04-14T05:50:45.783+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-22 (offset=0)
[2025-04-14T05:50:46.219+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-23 (offset=0)
[2025-04-14T05:50:46.636+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-24 (offset=0)
[2025-04-14T05:50:47.026+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-25 (offset=0)
[2025-04-14T05:50:47.442+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-26 (offset=0)
[2025-04-14T05:50:47.803+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-27 (offset=0)
[2025-04-14T05:50:48.104+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-28 (offset=0)
[2025-04-14T05:50:48.499+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-29 (offset=0)
[2025-04-14T05:50:48.906+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-09-30 (offset=0)
[2025-04-14T05:50:49.380+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-01 (offset=0)
[2025-04-14T05:50:49.803+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-02 (offset=0)
[2025-04-14T05:50:50.206+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-03 (offset=0)
[2025-04-14T05:50:50.609+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-04 (offset=0)
[2025-04-14T05:50:50.945+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-05 (offset=0)
[2025-04-14T05:50:51.351+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-06 (offset=0)
[2025-04-14T05:50:51.756+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-07 (offset=0)
[2025-04-14T05:50:52.132+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-08 (offset=0)
[2025-04-14T05:50:52.521+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-09 (offset=0)
[2025-04-14T05:50:52.910+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-10 (offset=0)
[2025-04-14T05:50:53.213+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-11 (offset=0)
[2025-04-14T05:50:53.546+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-12 (offset=0)
[2025-04-14T05:50:53.884+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-13 (offset=0)
[2025-04-14T05:50:54.319+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-14 (offset=0)
[2025-04-14T05:50:54.727+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-15 (offset=0)
[2025-04-14T05:50:55.145+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-16 (offset=0)
[2025-04-14T05:50:55.565+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-17 (offset=0)
[2025-04-14T05:50:55.889+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-18 (offset=0)
[2025-04-14T05:50:56.300+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-19 (offset=0)
[2025-04-14T05:50:56.715+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-20 (offset=0)
[2025-04-14T05:50:57.190+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-21 (offset=0)
[2025-04-14T05:50:57.616+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-22 (offset=0)
[2025-04-14T05:50:58.075+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-23 (offset=0)
[2025-04-14T05:50:58.512+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-24 (offset=0)
[2025-04-14T05:50:58.870+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-25 (offset=0)
[2025-04-14T05:50:59.224+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-26 (offset=0)
[2025-04-14T05:50:59.655+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-27 (offset=0)
[2025-04-14T05:51:00.156+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-28 (offset=0)
[2025-04-14T05:51:00.594+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-29 (offset=0)
[2025-04-14T05:51:01.005+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-30 (offset=0)
[2025-04-14T05:51:01.410+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-10-31 (offset=0)
[2025-04-14T05:51:01.878+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-01 (offset=0)
[2025-04-14T05:51:02.223+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-02 (offset=0)
[2025-04-14T05:51:02.638+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-03 (offset=0)
[2025-04-14T05:51:03.106+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-04 (offset=0)
[2025-04-14T05:51:03.600+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-05 (offset=0)
[2025-04-14T05:51:04.028+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-06 (offset=0)
[2025-04-14T05:51:04.491+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-07 (offset=0)
[2025-04-14T05:51:04.831+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-08 (offset=0)
[2025-04-14T05:51:05.164+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-09 (offset=0)
[2025-04-14T05:51:05.542+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-10 (offset=0)
[2025-04-14T05:51:05.938+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-11 (offset=0)
[2025-04-14T05:51:06.284+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-12 (offset=0)
[2025-04-14T05:51:06.712+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-13 (offset=0)
[2025-04-14T05:51:07.128+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-14 (offset=0)
[2025-04-14T05:51:07.464+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-15 (offset=0)
[2025-04-14T05:51:07.831+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-16 (offset=0)
[2025-04-14T05:51:08.261+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-17 (offset=0)
[2025-04-14T05:51:08.676+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-18 (offset=0)
[2025-04-14T05:51:09.124+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-19 (offset=0)
[2025-04-14T05:51:09.557+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-20 (offset=0)
[2025-04-14T05:51:09.997+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-21 (offset=0)
[2025-04-14T05:51:10.374+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-22 (offset=0)
[2025-04-14T05:51:10.724+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-23 (offset=0)
[2025-04-14T05:51:11.167+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-24 (offset=0)
[2025-04-14T05:51:11.575+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-25 (offset=0)
[2025-04-14T05:51:12.051+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-26 (offset=0)
[2025-04-14T05:51:12.415+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-27 (offset=0)
[2025-04-14T05:51:12.851+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-28 (offset=0)
[2025-04-14T05:51:13.219+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-29 (offset=0)
[2025-04-14T05:51:13.558+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-11-30 (offset=0)
[2025-04-14T05:51:13.970+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-01 (offset=0)
[2025-04-14T05:51:14.379+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-02 (offset=0)
[2025-04-14T05:51:14.857+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-03 (offset=0)
[2025-04-14T05:51:15.291+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-04 (offset=0)
[2025-04-14T05:51:15.754+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-05 (offset=0)
[2025-04-14T05:51:16.111+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-06 (offset=0)
[2025-04-14T05:51:16.455+0000] {logging_mixin.py:190} INFO - Fetching records for 2020-12-07 (offset=0)
